"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref"
1;"LED1";"WS2812_8x8_Matrix";1;"WS2812 LED 5050 8X8 LED MATRIX";""
2;"SP1,SP2";"Speaker_2809";2;"2809 SPEAKER";""
3;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5817 DIODE";""
4;"BT1";"18650_Dual_Holder";1;"18650 DUAL BATTERY HOLDER";""
5;"U3";"PAM8403_Module";1;"PAM8403 MODULE";""
6;"SW1,SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";2;"EC11 ENCODER";""
7;"OLED1";"OLED_0.96_I2C";1;"0.96 INCH OLED I2C";""
8;"U4";"MT3608_Module";1;"MT3608 MODULE";""
9;"SD1";"MicroSD_Reader";1;"MICRO SD CARD READER";""
10;"U5";"TP4056_Module";1;"TP4056 MODULE";""
11;"U1";"RPi_Pico2_SMD_TH";1;"RASPBERRY PI PICO 2";""
